Price,Description,Address,# Bath,# Bed,# Water Room,Note,ULS,Link
115 000, Maison à un étage et demi à vendre,92 Av. Pierre-Normand Mont-Joli,1,2,1,Nouveauté sur le marché,10127108,https://www.remax-quebec.com//fr/maison-a-vendre-bas-st-laurent/92-av-pierre-normand-mont-joli-10127108.rmx
1 100 par mois, Appartement à louer,2232 Boul. Gouin O. Ahuntsic-Cartierville (Montréal),1,2,0,Nouveauté sur le marché,11092195,https://www.remax-quebec.com//fr/condo-a-louer-montreal/2232-boul-gouin-o-ahuntsic-cartierville-11092195.rmx
2 500 par mois, Appartement à louer,4706 Rue Lake Dollard-des-Ormeaux,2,4,1,Nouveauté sur le marché,20774220,https://www.remax-quebec.com//fr/condo-a-louer-montreal/4706-rue-lake-dollard-des-ormeaux-20774220.rmx
1 400 par mois, Appartement à louer,3705 Av. Dupuis  app.509 Côte-des-Neiges,1,1,0,Nouveauté sur le marché,25744671,https://www.remax-quebec.com//fr/condo-a-louer-montreal/3705-av-dupuis-cote-des-neiges-25744671.rmx
199 900, Appartement à vendre,128 Rue Dubois  app.202 Sainte-Thérèse,1,2,0,Nouveauté sur le marché,23311456,https://www.remax-quebec.com//fr/condo-a-vendre-laval-rive-nord/128-rue-dubois-ste-therese-23311456.rmx
199 000, Appartement à vendre,25 Rue des Émeraudes  app.506 Repentigny,1,2,0,Nouveauté sur le marché,21539461,https://www.remax-quebec.com//fr/condo-a-vendre/25-rue-des-emeraudes-repentigny-21539461.rmx
389 000, Maison à étages à vendre,158 - 158A Rue Rosalie-Cadron Repentigny (Le Gardeur),1,4,1,Nouveauté sur le marché,22970845,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/158-158a-rue-rosalie-cadron-repentigny-le-gardeur-22970845.rmx
199 500, Maison de plain-pied à vendre,770 - 770A 11e Rue Saint-Jérôme (Saint-Antoine),2,3,0,Nouveauté sur le marché,16714687,https://www.remax-quebec.com//fr/maison-a-vendre-laurentides/770-770a-11e-rue-st-jerome-st-antoine-16714687.rmx
1 450 000, Maison à étages à vendre,1729 Ch. du Bord-du-Lac L'Île-Bizard/Sainte-Geneviève (L'Île-Bizard),3,4,1,Nouveauté sur le marché,14863582,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/1729-ch-du-bord-du-lac-l-ile-bizard-sainte-genevieve-l-ile-bizard-14863582.rmx
249 900, Appartement à vendre,141 Rue Francheville  app.22 Beauport (Chutes-Montmorency),1,3,1,Nouveauté sur le marché,16944809,https://www.remax-quebec.com//fr/condo-a-vendre-region-de-quebec/141-rue-francheville-beauport-chutes-montmorency-16944809.rmx
424 900, Maison à étages à vendre,5 Rue des Mycènes Blainville,2,3,0,Nouveauté sur le marché,23935553,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/5-rue-des-mycenes-blainville-23935553.rmx
359 900, Maison de plain-pied à vendre,190 Rue Maplecrest Rosemère,2,5,0,Nouveauté sur le marché,10122009,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/190-rue-maplecrest-rosemere-10122009.rmx
185 000, Maison de plain-pied à vendre,84 Rue du Domaine Drummondville (Saint-Nicéphore),2,4,0,Nouveauté sur le marché,9072302,https://www.remax-quebec.com//fr/maison-a-vendre-centre-du-quebec/84-rue-du-domaine-drummondville-saint-nicephore-9072302.rmx
274 900, Maison à étages à vendre,467 Rg St-Paul Saint-Rémi,1,4,0,Nouveauté sur le marché,27193629,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/467-rg-st-paul-st-remi-27193629.rmx
229 888, Appartement à vendre,100 Boul. J.-S.-Archambault  app.203 Terrebonne,2,2,0,Nouveauté sur le marché,9016112,https://www.remax-quebec.com//fr/condo-a-vendre/100-boul-j-s-archambault-terrebonne-9016112.rmx
65 000, Maison à étages à vendre,155 1re Avenue Saint-Benjamin,1,3,0,Nouveauté sur le marché,22118245,https://www.remax-quebec.com//fr/maison-a-vendre-chaudiere-appalaches/155-1re-avenue-st-benjamin-22118245.rmx
219 000, Maison de plain-pied à vendre,135 Rue des Érables Saint-Calixte,1,4,0,Nouveauté sur le marché,20034456,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/135-rue-des-erables-st-calixte-20034456.rmx
315 000, Maison à étages à vendre,482 Ch. MacDougall Brownsburg-Chatham,1,2,0,Nouveauté sur le marché,20367298,https://www.remax-quebec.com//fr/maison-a-vendre-laurentides/482-ch-macdougall-brownsburg-chatham-20367298.rmx
174 900, Maison de plain-pied à vendre,772 Rue Marie-Ange Granby,1,4,0,Nouveauté sur le marché,20328654,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/772-rue-marie-ange-granby-20328654.rmx
379 900, Maison de plain-pied à vendre,33 Av. de Génicourt Lorraine,2,4,0,Nouveauté sur le marché,25745753,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/33-av-de-genicourt-lorraine-25745753.rmx
975 000, Maison à étages à vendre,2 Rue de Clervaux Rosemère,3,5,1,Nouveauté sur le marché,19909242,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/2-rue-de-clervaux-rosemere-19909242.rmx
209 000, Maison à étages à vendre,367 Ch. Plante Fleurimont (Sherbrooke),1,2,0,Nouveauté sur le marché,23752428,https://www.remax-quebec.com//fr/maison-a-vendre-estrie/367-ch-plante-fleurimont-sherbrooke-23752428.rmx
289 000, Appartement à vendre,201 Rue du Saule-Noir  app.301 Lachenaie,1,2,0,Nouveauté sur le marché,21359272,https://www.remax-quebec.com//fr/condo-a-vendre/201-rue-du-saule-noir-lachenaie-21359272.rmx
1 988 000, Maison à étages à vendre,21 Rue Dali Candiac,3,4,1,Nouveauté sur le marché,21784252,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/21-rue-dali-candiac-21784252.rmx
235 000, Maison à étages à vendre,321 76e Avenue Chomedey (Laval),2,8,0,Nouveauté sur le marché,26644080,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/321-76e-avenue-chomedey-26644080.rmx
299 900, Maison à étages à vendre,22 Rue Ogilvy E. Saint-Hippolyte,2,3,1,Nouveauté sur le marché,25576560,https://www.remax-quebec.com//fr/maison-a-vendre-laurentides/22-rue-ogilvy-e-st-hippolyte-25576560.rmx
349 900, Maison à étages à vendre,10 Rue Alexandre Richelieu,2,2,0,Nouveauté sur le marché,20986439,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/10-rue-alexandre-richelieu-20986439.rmx
236 000, Appartement à vendre,15 34e Avenue  app.101 Pointe-aux-Trembles,1,2,0,Nouveauté sur le marché,14535163,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/15-34e-avenue-pointe-aux-trembles-14535163.rmx
336 000, Maison à paliers multiples à vendre,754 Rue St-Vallier Repentigny,2,4,0,Nouveauté sur le marché,18081043,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/754-rue-st-vallier-repentigny-18081043.rmx
199 000, Appartement à vendre,1600 Rue Métivier  app.508 Desjardins (Lévis) (Lévis),1,1,0,Nouveauté sur le marché,10521514,https://www.remax-quebec.com//fr/condo-a-vendre/1600-rue-metivier-desjardins-levis-levis-10521514.rmx
309 000, Appartement à vendre,535 Rue Gibbons  app.5 Verdun,1,2,0,Nouveauté sur le marché,16723144,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/535-rue-gibbons-verdun-16723144.rmx
1 250 par mois, Appartement à louer,5481 Ch. Queen-Mary  app.103 Côte-des-Neiges,1,1,0,Nouveauté sur le marché,16669956,https://www.remax-quebec.com//fr/condo-a-louer-montreal/5481-ch-queen-mary-cote-des-neiges-16669956.rmx
825 par mois, Appartement à louer,8508 Rue Albanel Saint-Léonard,1,2,0,Nouveauté sur le marché,16520796,https://www.remax-quebec.com//fr/condo-a-louer-montreal/8508-rue-albanel-st-leonard-16520796.rmx
394 500, Appartement à vendre,654 Rue Jean-Deslauriers  app.20 Boucherville,1,2,1,Nouveauté sur le marché,16702412,https://www.remax-quebec.com//fr/condo-a-vendre/654-rue-jean-deslauriers-boucherville-16702412.rmx
316 700, Appartement à vendre,4330 Rue De Chambly Rosemont/La Petite-Patrie (Shop Angus),1,2,0,Nouveauté sur le marché,20808618,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/4330-rue-de-chambly-rosemont-la-petite-patrie-shop-angus-20808618.rmx
329 000, Appartement à vendre,4480 Prom. Paton  app.501 Chomedey (Laval),1,2,0,Nouveauté sur le marché,21692844,https://www.remax-quebec.com//fr/condo-a-vendre-laval-rive-nord/4480-prom-paton-chomedey-21692844.rmx
890 000, Maison de plain-pied à vendre,3910 Rue Notre-Dame E. Trois-Rivières (Cap-de-la-Madeleine),2,3,0,Nouveauté sur le marché,22965102,https://www.remax-quebec.com//fr/maison-a-vendre-mauricie/3910-rue-notre-dame-e-trois-rivieres-cap-de-la-madeleine-22965102.rmx
1 400 par mois, Appartement à louer,6927 Boul. Pie-IX  app.5 Rosemont/La Petite-Patrie (Nouveau-Rosemont),1,2,0,Nouveauté sur le marché,27859064,https://www.remax-quebec.com//fr/condo-a-louer-montreal/6927-boul-pie-ix-rosemont-la-petite-patrie-nouveau-rosemont-27859064.rmx
277 000, Maison à étages à vendre,14557 Rue Thérèse-Giroux Pointe-aux-Trembles,1,2,1,Nouveauté sur le marché,21422090,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/14557-rue-therese-giroux-pointe-aux-trembles-21422090.rmx
329 900, Maison de plain-pied à vendre,221 Boul. Larochelle Repentigny,2,4,0,Nouveauté sur le marché,13071310,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/221-boul-larochelle-repentigny-13071310.rmx
289 900, Maison à paliers multiples à vendre,109 Rue Albert-Raymond Saint-Colomban,1,3,0,Nouveauté sur le marché,15290828,https://www.remax-quebec.com//fr/maison-a-vendre-laurentides/109-rue-albert-raymond-st-colomban-15290828.rmx
209 000, Maison à étages à vendre,41 Rue Lavigne Repentigny,1,4,1,Nouveauté sur le marché,15153740,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/41-rue-lavigne-repentigny-15153740.rmx
254 900, Maison de plain-pied à vendre,55 Rue Philippe-Goulet Repentigny,1,4,1,Nouveauté sur le marché,27707787,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/55-rue-philippe-goulet-repentigny-27707787.rmx
204 500, Maison à étages à vendre,968 Rue Fulton Jacques-Cartier (Sherbrooke),1,3,1,Nouveauté sur le marché,9886942,https://www.remax-quebec.com//fr/maison-a-vendre-estrie/968-rue-fulton-jacques-cartier-sherbrooke-9886942.rmx
279 000, Maison de plain-pied à vendre,1831 Rue du Buis La Plaine,2,5,0,Nouveauté sur le marché,21922162,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/1831-rue-du-buis-la-plaine-21922162.rmx
434 000, Maison à étages à vendre,1239 Rue des Carougeois Sainte-Foy/Sillery/Cap-Rouge (Cap-Rouge),2,3,1,Nouveauté sur le marché,20099614,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/1239-rue-des-carougeois-cap-rouge-20099614.rmx
95 000, Maison mobile à vendre,76 Rue Blouin Sainte-Anne-de-Beaupré,1,2,0,Nouveauté sur le marché,17462607,https://www.remax-quebec.com//fr/maison-mobile-a-vendre/76-rue-blouin-ste-anne-de-beaupre-17462607.rmx
489 900, Maison de plain-pied à vendre,20 Rue Riley Vaudreuil-Dorion,2,3,1,Nouveauté sur le marché,10207141,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/20-rue-riley-vaudreuil-dorion-10207141.rmx
419 000, Maison à étages à vendre,5 Rue Monseigneur-Dorais Mercier (Rive-Sud),2,4,1,Nouveauté sur le marché,13192399,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/5-rue-monseigneur-dorais-mercier-rive-sud-13192399.rmx
599 000, Maison à étages à vendre,1735 Av. de la Volière Sainte-Rose (Laval) (Champfleury),1,4,1,Nouveauté sur le marché,13599350,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/1735-av-de-la-voliere-ste-rose-13599350.rmx
219 000, Maison de plain-pied à vendre,1600 Boul. Manicouagan Baie-Comeau (Mingan),1,4,0,Nouveauté sur le marché,14845810,https://www.remax-quebec.com//fr/maison-a-vendre-cote-nord/1600-boul-manicouagan-baie-comeau-mingan-14845810.rmx
519 900, Maison à étages à vendre,84 Ch. Querry La Pêche,1,2,2,Nouveauté sur le marché,15587339,https://www.remax-quebec.com//fr/maison-a-vendre-outaouais/84-ch-querry-la-peche-15587339.rmx
330 000, Maison de plain-pied à vendre,17 Rue Brossard Saint-Constant,2,3,0,Nouveauté sur le marché,15862318,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/17-rue-brossard-st-constant-15862318.rmx
628 000, Appartement à vendre,2671 Rue Joliette Mercier/Hochelaga-Maisonneuve (Hochelaga-Maisonneuve),2,3,0,Nouveauté sur le marché,16495020,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/2671-rue-joliette-mercier-hochelaga-maisonneuve-hochelaga-maisonneuve-16495020.rmx
309 900, Maison de plain-pied à vendre,41 Rue Caroline Saint-Gabriel-de-Valcartier,2,3,0,Nouveauté sur le marché,17307547,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/41-rue-caroline-st-gabriel-de-valcartier-17307547.rmx
149 900, Appartement à vendre,50 Rue des Berges  app.4 Victoriaville,1,2,0,Nouveauté sur le marché,17544281,https://www.remax-quebec.com//fr/condo-a-vendre/50-rue-des-berges-victoriaville-17544281.rmx
239 000, Maison à un étage et demi à vendre,34 Rue Martel Cap-Santé,2,3,0,Nouveauté sur le marché,18473524,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/34-rue-martel-cap-sante-18473524.rmx
267 500, Maison de plain-pied à vendre,146 Rue McDuff Repentigny,2,2,0,Nouveauté sur le marché,21723668,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/146-rue-mcduff-repentigny-21723668.rmx
129 000, Maison mobile à vendre,3940 Boul. Dagenais O.  app.541 Fabreville (Laval),1,2,0,Nouveauté sur le marché,22885553,https://www.remax-quebec.com//fr/maison-mobile-a-vendre-laval-rive-nord/3940-boul-dagenais-o-fabreville-22885553.rmx
80 000, Maison à étages à vendre,14 Faucher Lotbinière,1,4,0,Nouveauté sur le marché,25165165,https://www.remax-quebec.com//fr/maison-a-vendre-chaudiere-appalaches/14-faucher-lotbiniere-25165165.rmx
449 000, Maison à étages à vendre,2437 Boul. des Oiseaux Sainte-Rose (Laval) (Champfleury),1,3,1,Nouveauté sur le marché,25442217,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/2437-boul-des-oiseaux-ste-rose-25442217.rmx
299 000, Maison de plain-pied à vendre,7269 Ch. Royal Saint-Laurent-de-l'Île-d'Orléans,2,4,0,Nouveauté sur le marché,27717678,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/7269-ch-royal-st-laurent-de-l-ile-d-orleans-27717678.rmx
399 000, Maison de plain-pied à vendre,148 Ch. de Cookshire Compton,3,4,0,Nouveauté sur le marché,27865782,https://www.remax-quebec.com//fr/maison-a-vendre-estrie/148-ch-de-cookshire-compton-27865782.rmx
304 000, Maison de plain-pied à vendre,60 Rue du Boisé Notre-Dame-du-Sacré-Coeur-d'Issoudun,2,3,0,Nouveauté sur le marché,27931785,https://www.remax-quebec.com//fr/maison-a-vendre-chaudiere-appalaches/60-rue-du-boise-notre-dame-du-sacre-coeur-d-issoudun-27931785.rmx
359 900, Maison à étages à vendre,417 Rue de Lisbonne Repentigny,1,3,2,Nouveauté sur le marché,9469227,https://www.remax-quebec.com//fr/maison-a-vendre-lanaudiere/417-rue-de-lisbonne-repentigny-9469227.rmx
329 900, Maison de plain-pied à vendre,4160 Av. Prince-Charles Chomedey (Laval),1,4,1,Nouveauté sur le marché,16954076,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/4160-av-prince-charles-chomedey-16954076.rmx
162 000, Maison de plain-pied à vendre,700 Rue Chauveau Drummondville,1,3,1,Nouveauté sur le marché,12822400,https://www.remax-quebec.com//fr/maison-a-vendre-centre-du-quebec/700-rue-chauveau-drummondville-12822400.rmx
329 000, Appartement à vendre,4372 Boul. Lévesque O.  app.301 Chomedey (Laval),1,2,0,Nouveauté sur le marché,15252644,https://www.remax-quebec.com//fr/condo-a-vendre-laval-rive-nord/4372-boul-levesque-o-chomedey-15252644.rmx
259 000, Maison de plain-pied à vendre,372 Rue Plichard Beauport (Saint-Michel),2,4,0,Nouveauté sur le marché,17351295,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/372-rue-plichard-beauport-st-michel-17351295.rmx
415 000, Maison de plain-pied à vendre,83 Rue Granger Saint-Philippe,2,4,0,Nouveauté sur le marché,15861996,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/83-rue-granger-st-philippe-15861996.rmx
224 000, Maison de plain-pied à vendre,417 Rue Léon-Dion Rimouski (Saint-Robert),2,3,0,Nouveauté sur le marché,28188451,https://www.remax-quebec.com//fr/maison-a-vendre-bas-st-laurent/417-rue-leon-dion-rimouski-st-robert-28188451.rmx
369 000, Maison de plain-pied à vendre,29 Ch. Osborne L'Ange-Gardien,2,4,0,Nouveauté sur le marché,24898002,https://www.remax-quebec.com//fr/maison-a-vendre-outaouais/29-ch-osborne-l-ange-gardien-24898002.rmx
579 700, Maison à étages à vendre,4365 Rue du Canadien-Pacifique Rosemont/La Petite-Patrie (Shop Angus),2,3,1,Nouveauté sur le marché,9576057,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/4365-rue-du-canadien-pacifique-rosemont-la-petite-patrie-shop-angus-9576057.rmx
2 500 par mois, Maison à étages à louer,10 Crois. des Prairies Lachenaie,2,3,1,Nouveauté sur le marché,12592578,https://www.remax-quebec.com//fr/maison-a-louer/10-crois-des-prairies-lachenaie-12592578.rmx
239 000, Appartement à vendre,1845 Rue de la Visitation  app.2 Ville-Marie (Village),1,2,0,Nouveauté sur le marché,15562500,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/1845-rue-de-la-visitation-ville-marie-village-15562500.rmx
289 900, Maison de plain-pied à vendre,666 Boul. Louis-Joseph-Papineau Saint-Eustache,2,4,0,Nouveauté sur le marché,17600839,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/666-boul-louis-joseph-papineau-ste-eustache-17600839.rmx
579 700, Maison à étages à vendre,4365Z Rue du Canadien-Pacifique Rosemont/La Petite-Patrie (Shop Angus),2,3,1,Nouveauté sur le marché,22064540,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/4365z-rue-du-canadien-pacifique-rosemont-la-petite-patrie-shop-angus-22064540.rmx
149 000, Maison de plain-pied à vendre,529 Rue de Lausanne Rimouski (Nazareth),2,3,0,Nouveauté sur le marché,15926427,https://www.remax-quebec.com//fr/maison-a-vendre-bas-st-laurent/529-rue-de-lausanne-rimouski-nazareth-15926427.rmx
274 000, Appartement à vendre,15 Rue De Castelnau O.  app.220 Villeray/Saint-Michel/Parc-Extension (Villeray),1,1,0,Nouveauté sur le marché,27642272,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/15-rue-de-castelnau-o-villeray-saint-michel-parc-extension-villeray-27642272.rmx
149 300, Maison de plain-pied à vendre,383 Boul. Chabot Saint-Ubalde,2,2,0,Nouveauté sur le marché,9976162,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/383-boul-chabot-st-ubalde-9976162.rmx
91 000, Maison de plain-pied à vendre,781 13e Avenue Shawinigan (Grand-Mère),1,4,0,Nouveauté sur le marché,27493652,https://www.remax-quebec.com//fr/maison-a-vendre-mauricie/781-13e-avenue-shawinigan-grand-mere-27493652.rmx
159 900, Appartement à vendre,100 Rue de la Verrerie  app.C Saint-Augustin-de-Desmaures,1,2,0,Nouveauté sur le marché,11977953,https://www.remax-quebec.com//fr/condo-a-vendre-region-de-quebec/100-rue-de-la-verrerie-st-augustin-de-desmaures-11977953.rmx
1 450 par mois, Appartement à louer,55 7e Avenue  app.A Lachine,1,2,1,Nouveauté sur le marché,14194556,https://www.remax-quebec.com//fr/condo-a-louer-montreal/55-7e-avenue-lachine-14194556.rmx
319 000, Maison de plain-pied à vendre,760 Rue Beaugrand Saint-Vincent-de-Paul (Laval),1,2,0,Nouveauté sur le marché,20861655,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/760-rue-beaugrand-st-vincent-de-paul-20861655.rmx
319 900, Maison à étages à vendre,1971 Rue du Ruisseau Sainte-Marie-Madeleine,2,3,1,Nouveauté sur le marché,18149267,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/1971-rue-du-ruisseau-ste-marie-madeleine-18149267.rmx
429 000, Maison de plain-pied à vendre,939 Rue de La Rochelle Boucherville,3,6,0,Nouveauté sur le marché,24813854,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/939-rue-de-la-rochelle-boucherville-24813854.rmx
299 000, Appartement à vendre,10514 Boul. Gouin E. Rivière-des-Prairies,2,2,0,Nouveauté sur le marché,23690431,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/10514-boul-gouin-e-riviere-des-prairies-23690431.rmx
179 900, Maison mobile à vendre,47 Route de Duchesnay Sainte-Catherine-de-la-Jacques-Cartier,1,2,0,Nouveauté sur le marché,17134824,https://www.remax-quebec.com//fr/maison-mobile-a-vendre/47-route-de-duchesnay-ste-catherine-de-la-jacques-cartier-17134824.rmx
479 000, Maison à étages à vendre,304 Rue des Émeraudes Boischatel,2,3,1,Nouveauté sur le marché,13516044,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/304-rue-des-emeraudes-boischatel-13516044.rmx
178 000, Maison de plain-pied à vendre,6437 Ch. Ridge Godmanchester,1,3,0,Nouveauté sur le marché,12381339,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/6437-ch-ridge-godmanchester-12381339.rmx
175 000, Maison de plain-pied à vendre,1059 Rue Bellemare Fabreville (Laval),1,2,0,Nouveauté sur le marché,10511657,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/1059-rue-bellemare-fabreville-10511657.rmx
598 500, Maison à étages à vendre,203 Av. Charlemagne Candiac,2,3,1,Nouveauté sur le marché,25547766,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/203-av-charlemagne-candiac-25547766.rmx
304 900, Maison de plain-pied à vendre,764 Av. Desmarchais Vaudreuil-Dorion,2,2,0,Nouveauté sur le marché,10630001,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/764-av-desmarchais-vaudreuil-dorion-10630001.rmx
750 par mois, Appartement à louer,574 Av. Hector Mercier/Hochelaga-Maisonneuve (Mercier),1,2,0,Nouveauté sur le marché,13438923,https://www.remax-quebec.com//fr/condo-a-louer-montreal/574-av-hector-mercier-13438923.rmx
319 000, Appartement à vendre,375 Rue du Languedoc  app.17 Boucherville,1,2,1,Nouveauté sur le marché,19734773,https://www.remax-quebec.com//fr/condo-a-vendre/375-rue-du-languedoc-boucherville-19734773.rmx
194 500, Maison de plain-pied à vendre,110 Rue Legault Lachute,2,4,0,Nouveauté sur le marché,27812949,https://www.remax-quebec.com//fr/maison-a-vendre-laurentides/110-rue-legault-lachute-27812949.rmx
