Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
255 000,"1061, avenue Lebeau",St-Ambroise-De-Kildare,2,2,1125,7091
189 000,"235, chemin Després",La Minerve,3,1,900,60493
40 000,"851, chemin du Havre-des-Monts",St-Sauveur,1,1,649,2800
285 000,"449, rue Pigeon",Beloeil,4,2,960,7489
79 000,"103, Chemin de Montreux",St-Sauveur,4,2,960,54000
215 000,"7, rue de la Sapinière",St-Ephrem-De-Beauce,4,1+1,1344,20776
359 900,"1652, rue des Renards",Longueuil (Vieux-Longueuil),3,2+1,1280,2461
399 900,"348, rue Roger-Lemelin",Terrebonne (Terrebonne),3,1+1,1871,3901
214 000,"1416, rue Buffon",Ste-Foy,3,1+1,1200,2025
467 000,"98, chemin du Campagnard",Ile d'Orléans (St-Francois),3,1+1,2300,43560
749 500,"32, rue Giguère",Ste-Rose,6,3+1,2690,7162
379 000,"915, rue Marie-Gérin-Lajoie",Terrebonne (Terrebonne),2,1+1,1532,2579
245 900,"4635, rue Louis-Fiset - Par Duo Immobilier",Contrecoeur,3,2,1050,4059
469 000,"308, rue des Bois-Francs",Mont-Carmel,3,1,1664,2740000
394 900,"73, rue de Clichy",Beauport,3,1+1,1775,6415
379 000,"235, rue Beethoven",Vaudreuil-Dorion,3,2+1,1469,5337
184 500,178-180 15e Avenue,Drummondville (Drummondville),3,1,1121,5000
390 000,"12371, Jules Helbronner - Par les Habitations Parmofab inc",Rivière des Prairies,3,2+1,1450,2700
249 500,"505, chemin Duplessis",Sherbrooke (Fleurimont),3,2,1134,34351
289 500,"521, rue des Ancolies",Lavaltrie,3,2,1225,6781
445 000,"1052, rue Beauregard",Chicoutimi (Chicoutimi),5,2+1,1157,6900
940 000,"548, rue du Massif",Mont-St-Hilaire,4,3+1,3189,9840
52 000,"1243, route 321",Papineauville,4,3+1,3189,384634
275 000,"4, chemin du Domaine-Ayotte",St-Donat,2,1+1,1357,24972
229 500,"572, rue Soucy",Gatineau (Buckingham),3,2,1400,3000
284 900,"1368, rue du Colorado",Val-Bélair,3,2+1,1252,3553
420 000,"743, rue des Huards",Contrecoeur,3,2+1,1592,11300
239 000,"4925, avenue Carrel",Les Saules,4,1+1,821,5000
614 000,"590, chemin Saint-Louis",St-Basile-Le-Grand,5,3,3000,9750
207 500,"245, rue Saint-Pierre",St-Germain-De-Grantham,3,1+1,1264,8712
274 900,"663, rue du Milan",St-Amable,3,2,676,4000
340 000,"145, rue Saint-Isidore",Ste-Anne-Des-Plaines,7,5,1297,60110
375 000,2573-2575 rue Monsabre,Mercier / Hochelaga / Maisonneuve,2,1,1297,2100
325 000,"2-728, rue des Sureaux",Boucherville,2,1,1027,1000
569 000,7653-7657 avenue de Fougeray,Anjou,7,3,1027,3330
249 000,"2394, rue Chevaudier",L'Assomption,3,2+1,1400,10000
"6,50","34, rue Déry",Cap-Santé,3,2+1,1400,11840
194 800,"516, rue des Vétérans",Rimouski (Pointe-Au-Père),4,2,952,4639
"6,50","32, rue Déry",Cap-Santé,4,2,952,11840
188 000,"302-10015, boulevard de l'Ormière",Neufchatel,2,1,1430,12298
269 000,"850, rue Voyer",Magog,5,2,1430,5295
345 000,"219, rue du Genévrier",Duvernay-Est,3,1+1,1318,3200
449 000,"835, rue de la Beaurivage",Drummondville (St-Charles-De-Drummond),3,2+1,2184,6610
289 000,"14320, rue Manseau",Mirabel (St-Augustin),4,1+1,2184,5250
200 000,"115, rue de l'Église",Durham-Sud,5,2,1957,210972
329 000,"96, rue Dupont Est",Chateauguay,3,2,1957,9050
112 500,"10, rue Boudreault",Port-Cartier,3,1,1957,4050
549 000,"5150, rue Duchesneau",Mercier / Hochelaga / Maisonneuve,4,1+2,1673,2943
289 900,"528 - 532, rue Casavant",Granby,3,1+1,1459,5500
205 000,"282, chemin de Chambly",Marieville,2,1+1,992,1751
199 900,"1351, rue Granier",Pointe-Lebel,4,2+1,1500,46778
522 000,"3519, rue Ravel",Sherbrooke (Rock Forest),4,3+1,2365,16059
325 000,"48, 1re Avenue",Delson,4,1+1,1092,6899
220 000,"33, chemin Taché Est",Ste-Rita,2,1,751,2291520
249 500,"743, rue des Rosiers",St-Elzéar-de-Beauce,4,1+2,751,11095
170 000,"254, 4e rang Est",Stoke,4,2,1142,57701
412 000,"473, rue Brewer",Gatineau (Buckingham),4,2+2,2402,8000
850 000,1811-1-2-1875-18187 rue Gareau,Longueuil (Vieux-Longueuil),9,5+1,2402,7998687
229 900,"196, rue Hudon",Rimouski (Rimouski),4,2+1,1558,5000
196 900,"103-370, rue des Embarcations",Saint-Roch,2,1,952,1663
299 000,"664, chemin de Saint-Robert",St-Robert,2,1,952,11199
329 000,"50, Rue Charles-Yelle",La Prairie,2,1+1,1120,2905
315 000,"259, rue Varin",Terrebonne (Lachenaie),3,1+1,1198,6500
339 900,"8, rue Saint-Jean-Baptiste",Oka,3,1+1,1584,7183
319 000,"65, rue Saint-Jacques",St-Constant,3,2,1230,11307
324 900,"429, rue de l'Épervier",Otterburn Park,4,1+2,1230,4530
128 000,chemin de la Doncaster,Ste-Adèle,4,1+2,1230,68350
224 999,"1093, rue Jeary",Longueuil (Greenfield Park),3,1+1,960,710
285 000,"2935, rue de l'Étoffe - Par Construction Serge Brouillette",Drummondville (Drummondville),3,1+1,1344,6381
649 000,1640-1646 boulevard du Mi-Vallon,Sherbrooke (Rock Forest),3,1+1,1344,12016
275 000,"680, rue Desjardins Nord",Granby,4,2,1194,54000
201 040,Le Gardenville - Unité 2-104,Longueuil (Vieux-Longueuil),1,1,718,18000
251 861,"125, rue de la Valériane",St-Augustin-De-Desmaures,3,1+1,768,5500
234 900,rue des Farfadets,Beauport,3,1+1,768,5000
250 000,"1028, boulevard de la Chaudière",Cap-Rouge,3,1+1,1180,6043
219 000,"798, rue du Cheminot",La Pocatiere,4,2,952,5700
235 000,"1390, avenue François-1er",Limoilou,2,1,886,2199
343 000,"3282, rue des Églantiers",Charlesbourg,4,2+2,1126,7756
649 900,"684, rue du Domaine",St-André-D'Argenteuil,3,3+1,1900,104688
217 000,"1450, rue Paul-Perreault",Beloeil,2,1,1150,9041
249 500,"844, rue Prévert",St-Nicolas,3,2+1,1216,3700
234 700,"155, rue Maurice-Paquet",Beauport,3,1+1,851,4411
329 900,"270, rue Pinsonneault",La Prairie,3,1+1,1135,4926
317 900,"4430, rue Jacques-Crépeault",Les Saules,4,1+2,1256,2638
190 000,"1866, rue Fay",Jonquière (Arvida),3,1+1,962,6465
390 000,"88, rue Watson",Sherbrooke (Lennoxville),3,2+1,1276,6000
350 000,"750-758, rue Alphonse-Durand",Joliette,2,1,1276,10301
175 000,"18, rue du Lac-Ray Nord",Gore,2,1,600,121277
359 999,"5530, rue Aubin",Montréal-Nord,3,1+1,1140,3006
544 000,"1750, rue Tahiti",Brossard,4,2+1,1310,4952
495 000,"128, rue Lusignan",St-Charles-sur-Richelieu,3,2+1,2275,22953
342 000,"208-501, rue Main",Ayer's Cliff,2,2,999,270
379 000,"3475, rue Bernadette",Fabreville,3,2,1088,6049
175 000,"300, rue Isabelle",ND-Du-Bon-Conseil,4,1+1,918,5445
245 000,"4442, rue Ménard",St-Augustin-De-Desmaures,4,2,775,8261
500 000,"14, rue des Lilas",Bromont,4,2,1667,7083
300 000,"226, rue Savignac",St-Germain-De-Grantham,4,1+1,2153,7260
225 000,"1474, rue Bergeron",St-Émile,2,1,912,5400
695 000,"71, rue des Tournois",Blainville,5,3+1,912,16145
259 000,"53, chemin du Musée",Blainville,3,1+1,900,5806
699 000,"4037, rue Jacques-Porlier",Mercier / Hochelaga / Maisonneuve,3,2+2,1872,4271
399 900,"331, rue Blain",Mont-St-Hilaire,5,3,1323,8500
800 000,"7453, avenue de Chateaubriand",Villeray / St-Michel / Parc-Extension,6,4,1323,2175
245 000,"4580, rue de l'Onde",Charny,5,1+1,1102,5760
208 000,"108-100, rue Cartier",St-Lambert,1,1,600,282
387 500,"110, rue Deshaies",ND-Des-Prairies,3,2,1664,6000
255 000,"2367, chemin du Lac-Canard",Ste-Lucie-Des-Laurentides,4,1,964,43055
268 900,"453, montée Beaudoin",Upton,3,2,1495,46016
319 000,"2637, avenue Adhemar-Raynault",L'Assomption,3,1+1,1465,9197
139 000,"92, rue Bernard",St-Alphonse-Rodriguez,2,1,800,11250
254 000,"803, rue Lafontaine",Drummondville (Drummondville),3,2,1588,9100
410 000,"1535, rue du Framboisier",Drummondville (Drummondville),4,2,1138,11952
335 000,"416, avenue de la Chapelle",Magog,3,1+1,1125,9794
469 000,"21, chemin des Échassiers",Val-Des-Monts (Perkins),3,1+1,1400,43560
764 980,Le Gardenville - Unité 1-403,Longueuil (Vieux-Longueuil),3,2,1663,18000
235 000,"25, rue Steve",Victoriaville,3,2,1093,10776
449 900,"210, rue des Parterres",Mascouche,3,1+1,1774,5100
212 500,"1130, rue Pamphile-Roy",St-Rédempteur,3,1+1,1320,3660
348 000,"8095, avenue Arlington",Longueuil (St-Hubert),4,2+1,999,13875
229 000,"680, rue Sainte-Ursule",Trois-Rivières (Trois-Rivières),4,3,999,4194
174 900,"6105, rue de la Montagne",Trois-Rivières (Trois-Rivières-Ouest),5,2,1071,6175
338 000,"221, rue Gaston",Repentigny (Repentigny),4,2,1100,6004
214 999,"1017, rue de l'Acajou",St-Jérôme (Bellefeuille),3,1+1,1175,3404
329 000,"2340, rue Larivière",Ville-Marie (Centre-Ville et Vieux Mtl),2,1,1000,2300
649 000,"3133, rue Lareau",Carignan,5,4,3010,10350
342 000,"132, rue Fernand-Séguin",Varennes,4,2,1305,6000
269 000,"1345, rue Amherst",Sherbrooke (Jacques-Cartier),5,1+1,1620,8250
415 000,"280, rue du Trécarré",Varennes,3,1+2,1410,6335
184 000,"745, rue des Tilleuls",Sherbrooke (Fleurimont),3,1+1,731,4219
358 000,"8550, Avenue de Choiseul",Charlesbourg,3,2,1188,7050
144 900,"316, boulevard Sir-Wilfrid-Laurier",Longueuil (St-Hubert),2,1,871,1400
309 000,"460, chemin du Lac-Migué",St-Damien,2,1,936,109279
285 000,"407, rue des Fleurons",Magog,3,1+1,1204,14679
409 000,"265, rang des Cèdres",St-Raymond,3,2,2000,182326
333 000,"814, avenue de l'Abbé-Théoret",Ste-Julie,6,2,620,5205
169 900,"1120, rue Malo",Trois-Rivières (Trois-Rivières-Ouest),3,2,796,3282
169 000,"131, rue Bourdon",Salaberry-De-Valleyfield,2,1+1,1137,3000
348 500,"2275, rue des Pommiers",Sherbrooke (Fleurimont),4,2,1200,6000
279 000,"585, place Schumann",Brossard,2,1,1110,1366
429 500,"1148, rue des Gélinottes",Longueuil (Vieux-Longueuil),4,2+1,1350,3597
299 900,"301-666, rue du Bord-de-l'Eau Ouest",Longueuil (Vieux-Longueuil),2,1,1219,26308
580 000,"1494, chemin de Bélair",Val-Bélair,5,2+1,2100,65000
525 000,"2718, montée d'Argenteuil",St-Adolphe-D'Howard,4,2+1,1625,100500
279 900,"517, rue Josiane",Fabreville,3,1+1,1150,2435
600 000,"301, rue Chagnon",Vercheres,4,3+1,3097,10708
249 000,"37, rue Laurent-Tremblay",Mont-St-Gregoire,4,1,1780,28930
171 900,"301-16045, rue Eugénie-Tessier",Pointe-Aux-Trembles / Montréal-Est,2,1,775,12056
229 900,"107, place Nancy",Beauport,3,1,912,4280
425 000,"2746, chemin Royal",Ile d'Orléans (Ste-Famille),6,2,2390,55038
335 000,,St-Michel,3,1,1344,43890
174 000,"16-705, boulevard Saint-Joseph",Gatineau (Hull),2,1+1,1152,1759
94 500,"30, rue du Ruisseau",St-Ambroise,3,1,952,5000
329 500,"103-130, rue Marcel-R.-Bergeron",Bromont,3,2,1400,25672
595 000,"12150, rue Saint-Évariste",Ahuntsic / Cartierville,5,2+1,1624,3570
497 000,"5477-5479, avenue d'Orléans",Rosemont / La Petite Patrie,6,2,1624,1950
215 500,"87, rue Gabriel",St-Liboire,3,1+1,962,3360
415 000,"158, rue Dupont Est",Chateauguay,5,3+1,962,10999
453 641,"641, rue de la Soeur-Marie-Rose",Terrebonne (Lachenaie),5,2+1,1944,6215
509 000,Quartier Connaught  - Par Les habitations Bouladier,Gatineau (Aylmer),2,1,1944,1
13,rue Déry - Zone C-11,Cap-Santé,2,1,1944,7200
695 000,"53, rue de l'Érablière Ouest",St-Hippolyte,5,2+1,3000,48000
500 000,"420, chemin du Ruisseau-Saint-Jean Sud",St-Roch-De-L'Achigan,4,1+1,4790,20000
330 000,"3219, rue Bertin",Longueuil (Vieux-Longueuil),2,1+1,1170,4000
425 000,"189, rue Picard",St-Eustache,4,2+1,1582,8100
399 000,"2052, chemin Doucet",Trois-Rives,3,1+1,1484,145000
347 900,"1167, rue du Clos-du-Petit-Mont",Prévost,2,1+1,775,9205
225 000,"336, rue Saint-Viateur",Granby,3,2,1002,6349
649 000,"1891, rue Cardinal",Le Sud-Ouest,3,2,1100,2027
172 000,241-243 rue Wilson,Lachute,4,2,1100,5081
389 000,"2760, rue des Albatros",Ste-Rose,3,1,1071,7326
192 500,"890, avenue des Noisetiers",Alma,3,2,832,15500
539 000,"1556, rue Louis-Durocher",Vimont,4,2,1750,8475
267 500,"278, rue Diana",St-Romuald,3,2,1041,7519
227 000,"233, rue Juliette",Napierville,2,1,896,6468
724 900,"198, avenue du Béarn",St-Lambert,4,2,1998,6588
348 000,"2661, rue des Chênes",Sherbrooke (Jacques-Cartier),4,2,1440,12000
375 000,"101, croissant Doré",Duhamel,4,2,1200,17565
358 000,"179, rue de l'Alizé",Bonsecours,3,3,2273,16178
619 000,"5849, rue Mignault",Mercier / Hochelaga / Maisonneuve,3,1,2273,2999
1 250 000,"445, avenue du Président-Kennedy",Ville-Marie (Centre-Ville et Vieux Mtl),3,1,2273,1968
275 000,"175, rue Richard",Princeville,4,2,1800,14133
70 500,"15, rue Boudreault",Port-Cartier,2,1,896,1405
233 000,"2405, rue de la Commune",Drummondville (Drummondville),4,2,992,6352
495 000,"4925, rue Viau",Sherbrooke (Rock Forest),5,2+1,1873,11711
314 900,"1014, avenue Saint-Luc",Mascouche,2,2,1000,6463
350 000,"129, avenue Bernard-Dumont  Est",St-Raphael,2,2,19982,42995
144 000,"77, rue Saint-Louis",East Angus,3,2,960,10000
515 000,"210, rue Marquis de Tracy",Boucherville,3,2,1500,7200
349 000,"1400, rue de l'Héritage",St-Lazare,4,2+1,1764,21581
207 000,"2933, rue Lavergne",Shawinigan (Shawinigan),7,3,1764,5000
254 900,"1620, rue du Framboisier",Drummondville (Drummondville),4,2,936,6695
459 000,"33-794, rue Jean-Deslauriers",Boucherville,2,1+1,1456,3871
287 000,"943, rue Rosalie-Cadron",Lavaltrie,3,1+2,1218,6700
195 000,"2653, rue des Alpes",Sherbrooke (Fleurimont),3,2,931,3950
597 000,5436-5438 avenue Charlemagne,Rosemont / La Petite Patrie,2,1,931,1949
228 000,"4, rue Massue",Victoriaville,4,2,931,7401
729 900,"6770, rue Châtelain",Rosemont / La Petite Patrie,3,1,730,2812
349 900,"3733, route des Rivières",St-Étienne-De-Lauzon,3,1+1,1960,6919
369 900,"497, rue de la Bonne-Entente",Rimouski (Rimouski),4,2+1,1914,5900
268 500,"579, chemin Giroux",Sherbrooke (Brompton),4,1+1,1100,45944
175 000,"243, rue des Becs-Croisés",St-Germain-De-Grantham,3,2,816,6512
489 000,"45, rue Brosseau",St-Constant,4,2+1,2025,7770
265 000,"543, rue Cocteau",Charlesbourg,4,1+2,1290,4819
189 000,"11-4064, rue de l'Écluse",Charny,3,1+1,1695,2905
145 000,"122, rue Gagné",Montmagny,3,2,1695,5662
299 900,"510, rue Macdale",Magog,5,2,1287,11112
484 999,"220, sentier Desgagné",St-Félix-D'Otis,3,2+1,2040,50000
442 530,Le Gardenville - Unité 1-211,Longueuil (Vieux-Longueuil),2,2,1013,18000
314 000,"18, rue J.A.-Pélisson - Par Construction Mario Dion",Ste-Catherine-de-la-JC,2,1,1252,43000
211 900,Modèle Beauséjour - District St-Apollinaire - Par Les Habitations Bô-Model,St-Apollinaire,3,1+1,1252,3800
182 900,Modèle L'Épatant - District Saint-Apollinaire - Par Les Habitations Bô-Model,St-Apollinaire,2,1,1252,3800
235 000,"85, rue de la Paroi - Par Maisons Laprise",Ste-Adèle,2,1+1,1252,15000
245 900,"24, rue des Mélèzes - Quartier du Hameau",Boischatel,2,1+1,1414,1577
209 900,Modèle à construire - Par Habitations R.L. et Fontaine inc.,Contrecoeur,2,1+1,1104,3552
283 000,"103, rue Duberger",Charlesbourg,4,1+2,1190,2494
119 900,"1-687, boulevard des Grives",Gatineau (Hull),1,1,590,768
225 000,"892, rang du Bas-Corbin",St-Damase,3,2+1,1273,21195
169 500,"301-4720, place de la Marquise",Trois-Rivières (Trois-Rivières),2,1,1218,14931
169 850,"10, rue de Bonaventure",Gatineau (Gatineau),3,1+1,1200,2163
244 900,"100, rue du Lac Lily",Chertsey,2,1,1000,43000
274 900,"108, Rue du Lac Lily",Chertsey,3,2,1550,43000
157 000,"899, rue Merry Nord",Magog,2,1,936,18067
327 500,"249, rue de Navarone",Repentigny (Repentigny),3,1+1,1460,5000
235 000,"2252, chemin de la Pointe",ND-De-La-Merci,2,1,660,8127
235 000,"6-51, rue Boucher",Sorel-Tracy,3,1,1340,32911
199 500,"151, rue du Châtelet",Gatineau (Masson-Angers),4,1+1,830,6238
289 000,"18, chemin des Buffalos",Grenville-sur-la-Rouge,3,3,2744,64100
379 000,"12498, rue Napoléon-Bourassa",Rivière des Prairies,3,1+1,1320,2248
192 500,"81, rue Bernard",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),3,1+1,1030,4550
155 000,"628, rue Barkoff",Trois-Rivières (Cap-De-La-Madeleine),4,2,1025,5850
89 000,"309, rue Auclair",Ste-Brigitte-De-Laval,4,2,1025,126325
750 000,"687, rue Fernet",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),3,2+1,4500,16000
239 500,"100, rue Chassé",St-Anaclet-De-Lessard,5,2,2592,9500
326 500,"3185, rue Milleret",Ste-Foy,2,1,925,6525
389 000,"953, rue D'Antin",Repentigny (Repentigny),2,2,1560,9435
429 500,"246-250, rue Benoit Est",Longueuil (Vieux-Longueuil),6,1,1560,4157
399 000,"30, chemin du Grand-Pic",St-Faustin-Lac-Carré,2,3,1303,190034
679 000,"680, chemin de la Rivière Nord",St-Eustache,4,3+1,3300,100850
437 000,"1014, rue du Curé-Beauchemin",Terrebonne (Lachenaie),3,1+1,1665,6688
236 900,"98, rue Smith",Chateauguay,3,1,864,7015
119 000,"2018, rue Bellevue - Par Construction C.R.D inc.",Ste-Catherine-de-la-JC,1,1,710,12500
429 000,"17305, rue de Montcalm",Mirabel (Domaine-Vert Nord),3,2,1276,5770
375 000,"50, rue de la Cédrière",Morin-Heights,4,1+1,1516,35245
199 900,"321, chemin du 10e Rang",Coaticook,3,2,880,87120
254 900,"70, rue du Claret",Gatineau (Aylmer),3,1+1,1338,3680
367 000,"96, rue Narcisse-Poirier",Blainville,3,1+1,1064,6831
221 200,rue des Sables - Par Construction Mario Dion,Ste-Catherine-de-la-JC,2,1,931,6294
350 000,"1001, rue des Épinettes",Mascouche,3,1+1,1248,5000
146 900,"403-3496, rue Vautelet",Ste-Foy,1,1,797,39606
247 900,"2453, rue du Cuir",St-Émile,2,1+1,1156,2266
524 900,"1029, rue Gardenville",Longueuil (Vieux-Longueuil),4,2+1,1526,3123
242 900,"4, Place du Marais",Lachute,2,1+1,1311,7026
225 000,"105, rue Quesnel",Victoriaville,4,1+1,3180,6538
310 000,"252, rue Eleanor",Otterburn Park,4,2,1092,9700
459 000,"666, chemin du Bord-de-l'Eau",Ste-Dorothée,3,1+1,1092,6115
335 000,"56, rue Richard",Repentigny (Repentigny),3,1+1,1350,5000
419 000,"440, rue Bienville",Longueuil (Vieux-Longueuil),4,2,900,4368
650 000,3740-3742-3742a avenue des Églises,Charny,2,4,900,16838
235 000,"264, rue Maurice Sud",Rimouski (Rimouski),7,2,900,6750
218 000,"19, chemin Charbonneau",Val-Des-Monts (Perkins),3,2,900,65340
449 000,"1933, rue Honoré-Beaugrand",Mercier / Hochelaga / Maisonneuve,5,1+1,900,3182
389 000,"2281, rue Asselin",Longueuil (Vieux-Longueuil),4,1+1,1200,4275
429 000,"148, rue Saint-Denys-Garneau",St-Augustin-De-Desmaures,4,2+1,1650,6407
